Gene,Coassociation Frequency,New
LRRC8C,0.909806502804,1
DOCK11,0.909752402936,1
ALKBH4,0.909499936883,1
CHTOP,0.909391737147,1
MMP17,0.909328620634,1
TTC31,0.90913025445,1
CTD-2135D7.2,0.90913025445,1
AIMP1,0.909022054713,0
ZNF229,0.908571222477,1
SYNM,0.908381872937,1
SVIP,0.908318756424,1
EFTUD2,0.908228589977,0
RP11-345P4.6,0.908057273727,1
MTND4P35,0.90796710728,1
CDKAL1,0.907687591294,1
KIAA2026,0.907606441491,1
RP11-350J20.12,0.90748922511,1
RP11-404K5.2,0.907453158531,1
AP1G2,0.907218725768,1
RP11-298I3.6,0.907182659189,1
PLOD2,0.907137575965,1
SPINK5,0.906731826953,0
EFNB2,0.906614610571,1
TONSL-AS1,0.906461327611,1
OR6L1P,0.906407227742,1
RP11-430L17.1,0.906299028006,1
RP11-111A22.1,0.906262961427,1
MTCO1P24,0.906253944782,1
SRA1,0.90617279498,1
ZNF273,0.906064595243,1
RP11-552C15.1,0.905739996033,1
PLCD3,0.90550556327,1
RP11-474P2.4,0.905433430112,1
GTF2IP9,0.905000631165,1
AC107982.4,0.904784231692,1
PABPC1P1,0.904721115179,1
MAP3K2,0.904567832218,1
MIR1302-2,0.904549798929,1
RPL9P28,0.904486682416,1
CTDSP1,0.904387499324,1
TANGO6,0.904333399455,1
RBM5,0.904324382811,1
MED19,0.904261266298,1
NIFKP1,0.904080933403,1
STRN3,0.904026833535,1
RP11-384O8.1,0.903990766956,1
RP11-499F3.2,0.903756334193,1
VWA3A,0.90367518439,1
DYNC1I2,0.903657151101,0
FKBP9,0.903458784917,1
FXYD6P1,0.903305501957,1
CYYR1,0.903206318865,1
RP11-420A6.2,0.903134185707,1
MECR,0.90287270301,1
EIF4BP6,0.902773519918,1
PARP10,0.902737453339,1
PNMA6B,0.902674336826,1
SYNJ1,0.902593187023,0
NGEF,0.902430887418,1
DESI2,0.902025138405,1
BCRP9,0.901835788866,1
RP11-390F4.10,0.901718572485,1
SNRNP27,0.901700539195,1
COX7A2,0.901475123077,1
AATF,0.901457089788,1
ZNF223,0.901412006564,1
RP3-368A4.5,0.901348890051,1
